video,frame,root_x,root_y,body_x,body_y,tip_x,tip_y
speaker00044_F_s1_stn00143,0,33.194044748942055,59.587884267171226,54.02170181274414,43.786434173583984,72.30960083007812,52.66477966308594
speaker00044_F_s1_stn00143,1,33.20295270284017,59.58364995320638,54.045363108317055,43.78966267903646,72.33937454223633,52.68311309814453
speaker00044_F_s1_stn00143,2,32.975999196370445,59.607486724853516,54.22945658365885,44.19906870524088,72.86298370361328,53.71928787231445
speaker00044_F_s1_stn00143,3,32.97349739074707,59.60091908772787,54.22855758666992,44.20089594523112,72.86042404174805,53.727373123168945
speaker00044_F_s1_stn00143,4,32.98116811116537,59.60540517171224,54.242540995279946,44.19848505655924,72.876708984375,53.74447441101074
speaker00044_F_s1_stn00143,5,33.567681630452476,59.687356313069664,54.79170227050781,43.173021952311196,73.35682678222656,53.165958404541016
speaker00044_F_s1_stn00143,6,33.569714864095054,59.68438975016276,54.79181671142578,43.17390441894531,73.35648345947266,53.15456199645996
speaker00044_F_s1_stn00143,7,33.59083620707194,59.688812255859375,54.814284006754555,43.16588465372721,73.37545013427734,53.15613555908203
speaker00044_F_s1_stn00143,8,33.6132443745931,59.708143870035805,54.85018412272135,43.14747619628906,73.42237854003906,53.16468048095703
speaker00044_F_s1_stn00143,9,33.24457804361979,58.66991297403971,54.55090840657552,43.12211990356445,72.96418380737305,52.82942199707031
speaker00044_F_s1_stn00143,10,33.24317423502604,58.672874450683594,54.549339294433594,43.12585576375326,72.96321487426758,52.83135223388672
speaker00044_F_s1_stn00143,11,33.23159726460775,58.64867655436198,54.5370241800944,43.123025258382164,72.94582748413086,52.83195877075195
speaker00044_F_s1_stn00143,12,33.23967043558756,58.631370544433594,54.554491678873696,43.10516103108724,72.96387100219727,52.80940246582031
speaker00044_F_s1_stn00143,13,33.18104680379232,57.87476094563802,54.652844746907554,42.83845520019531,73.01377868652344,52.65008735656738
speaker00044_F_s1_stn00143,14,33.13014221191406,57.8296750386556,54.60252253214518,42.788534800211586,72.93222045898438,52.69693183898926
speaker00044_F_s1_stn00143,15,33.105838775634766,57.635762532552086,54.787245432535805,42.85178756713867,73.18323135375977,52.870304107666016
speaker00044_F_s1_stn00143,16,33.11356862386068,57.64065170288086,54.767007191975914,42.85752868652344,73.15153503417969,52.8056526184082
speaker00044_F_s1_stn00143,17,32.78331693013509,57.232346852620445,54.538970947265625,43.15392176310221,72.70517349243164,53.492666244506836
speaker00044_F_s1_stn00143,18,32.77391370137533,57.2261110941569,54.529090881347656,43.16106669108073,72.69011688232422,53.494890213012695
speaker00044_F_s1_stn00143,19,32.77784411112467,57.22659683227539,54.533897399902344,43.1588249206543,72.69438171386719,53.503753662109375
speaker00044_F_s1_stn00143,20,32.77856127421061,57.22446823120117,54.534491221110024,43.12248102823893,72.7049789428711,53.47198295593262
speaker00044_F_s1_stn00143,21,33.19421259562174,57.07500457763672,55.043931325276695,43.04090372721354,73.08307266235352,53.64495086669922
speaker00044_F_s1_stn00143,22,33.1938107808431,57.093954722086586,55.03746032714844,43.03673426310221,73.0814323425293,53.63239097595215
speaker00044_F_s1_stn00143,23,33.199981689453125,57.090649922688804,55.04596964518229,43.02864074707031,73.08992385864258,53.63260459899902
speaker00044_F_s1_stn00143,24,33.18573760986328,57.07067616780599,55.04371134440104,43.04130935668945,73.09530258178711,53.63520812988281
speaker00044_F_s1_stn00143,25,32.84865697224935,57.112536112467446,54.50415293375651,43.38676961263021,72.51631164550781,53.472272872924805
speaker00044_F_s1_stn00143,26,32.84976577758789,57.11814498901367,54.50502014160156,43.386433919270836,72.51773071289062,53.47208213806152
speaker00044_F_s1_stn00143,27,32.852944691975914,57.12504450480143,54.50769170125326,43.386695861816406,72.52298355102539,53.469011306762695
speaker00044_F_s1_stn00143,28,32.851216634114586,57.121716817220054,54.506524403889976,43.387715657552086,72.52037811279297,53.47553062438965
speaker00044_F_s1_stn00143,29,32.51588439941406,56.77694829305013,54.0337028503418,43.834643046061196,71.99902725219727,53.208417892456055
speaker00044_F_s1_stn00143,30,32.51520220438639,56.78041330973307,54.02936299641927,43.831835428873696,71.99472045898438,53.20463180541992
speaker00044_F_s1_stn00143,31,32.51539166768392,56.765368143717446,54.03043746948242,43.82734807332357,71.9928092956543,53.20660972595215
speaker00044_F_s1_stn00143,32,32.545519510904946,56.75448226928711,54.073944091796875,43.74816131591797,72.02721405029297,53.19410514831543
speaker00044_F_s1_stn00143,33,32.75289090474447,56.38571039835612,54.56764221191406,42.94052505493164,72.32481384277344,53.533348083496094
speaker00044_F_s1_stn00143,34,32.76241683959961,56.410972595214844,54.575575510660805,42.932847340901695,72.33770751953125,53.53838539123535
speaker00044_F_s1_stn00143,35,32.76798884073893,56.418111165364586,54.585052490234375,42.93155288696289,72.3547477722168,53.53994369506836
speaker00044_F_s1_stn00143,36,32.76270039876302,56.412208557128906,54.55745188395182,42.92747116088867,72.31111907958984,53.51003074645996
speaker00044_F_s1_stn00143,37,32.763257344563804,56.405320485432945,54.566619873046875,42.92690658569336,72.32492065429688,53.529314041137695
speaker00044_F_s1_stn00143,38,32.75649197896322,56.40418243408203,54.56001281738281,42.932271321614586,72.31940460205078,53.530670166015625
speaker00044_F_s1_stn00143,39,33.21226374308268,57.09329350789388,54.800332387288414,43.30261103312174,72.79891204833984,53.07687568664551
speaker00044_F_s1_stn00143,40,33.24251937866211,57.08912913004557,54.82651901245117,43.292901357014976,72.81621551513672,53.070077896118164
speaker00044_F_s1_stn00143,41,33.65196673075358,58.32246653238932,55.046365102132164,43.52472941080729,73.34395599365234,52.521615982055664
speaker00044_F_s1_stn00143,42,33.65765698750814,58.336421966552734,55.05553690592448,43.528978983561196,73.35995483398438,52.52890205383301
speaker00044_F_s1_stn00143,43,33.56640942891439,58.7085927327474,55.22404352823893,42.83928426106771,73.15151596069336,53.871931076049805
speaker00044_F_s1_stn00143,44,33.56458854675293,58.71480941772461,55.21978759765625,42.838086446126304,73.14568710327148,53.86857604980469
speaker00044_F_s1_stn00143,45,33.56553967793783,58.71207046508789,55.22241973876953,42.84100596110026,73.14881896972656,53.870548248291016
speaker00044_F_s1_stn00143,46,33.56426747639974,58.71266301472982,55.220516204833984,42.8376350402832,73.14693069458008,53.869789123535156
speaker00044_F_s1_stn00143,47,32.6831251780192,58.25505828857422,54.377366383870445,41.54358418782552,72.7528305053711,52.301103591918945
speaker00044_F_s1_stn00143,48,32.693197886149086,58.2486572265625,54.38694636027018,41.54190572102865,72.75972366333008,52.302093505859375
speaker00044_F_s1_stn00143,49,32.6915086110433,58.2499631245931,54.38421758015951,41.54225413004557,72.75678634643555,52.30330276489258
speaker00044_F_s1_stn00143,50,32.69260279337565,58.25537363688151,54.384666442871094,41.543558756510414,72.75834655761719,52.30133819580078
